PlatformName,PlatformURL,FoodType,ServiceType,BusinessModelType,BusinessNameAvailable,BusinessAddressAvailable,FHRSShown,FHRSRequiredOnRegistration,ScrapingRestrictions,ScrapingRestrictionsURL,OfficialAPIURL,RobotsURL,RobotsAllowsSearch,Javascript,LastUpdated,LastUpdatedBy
Gayot,https://www.gayot.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No,Yes - specific,https://www.gayot.com/about-us/terms-of-use/,No Official API,https://www.gayot.com/robots.txt,Unclear,No,29/08/20,Pivigo Team
GocceSupperClub,https://goocesupperclub.com/,Food Activities,Sellers,Supper Clubs,NA,NA,No,NA,No - no data access terms,No URL,No Official API,https://goocesupperclub.com/robots.txt,Unclear,No,29/08/20,Pivigo Team
GoodSixty,https://www.goodsixty.co.uk/,Foodstuffs,Intermediaries,Ordering & Logistics - Food Handling,Yes,Yes,No,No mention,Yes,https://www.goodsixty.co.uk/pages/terms,No Official API,https://goodsixty.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
GooglePlaces/Maps,https://cloud.google.com/maps-platform/places,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://policies.google.com/terms?hl=en#toc-content,https://developers.google.com/places/web-service/overview,http://maps.google.co.uk/robots.txt,No,Yes,29/08/20,Pivigo Team
GooglePlaces/Maps,https://cloud.google.com/maps-platform/places,Food Activities,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://policies.google.com/terms?hl=en#toc-content,https://developers.google.com/places/web-service/overview,http://maps.google.co.uk/robots.txt,No,Yes,29/08/20,Pivigo Team
GooglePlaces/Maps,https://cloud.google.com/maps-platform/places,Foodstuffs,Compilators,Listings,Yes,Yes,No,No mention,Needs license,https://policies.google.com/terms?hl=en#toc-content,https://developers.google.com/places/web-service/overview,http://maps.google.co.uk/robots.txt,No,Yes,29/08/20,Pivigo Team
GourmetGuide,https://www.gourmetguide.co.uk/,Deliveries/Cooked Food,Compilators,Listings,Yes,No,No,No mention,No - no data access terms,https://www.gourmetguide.co.uk/view/terms-and-conditions,No Official API,https://www.gourmetguide.co.uk/robots.txt,Yes,Yes,29/08/20,Pivigo Team
Gousto,https://www.gousto.co.uk/,Foodstuffs,Sellers,Recipe Boxes,NA,NA,No,NA,Yes - indirect ,https://www.gousto.co.uk/terms-of-use,https://docs.gusto.com/,https://www.gousto.co.uk/robots.txt,Yes,No,29/08/20,Pivigo Team
Gumtree,https://www.gumtree.com/,Deliveries/Cooked Food,Intermediaries,Marketplaces - No Food Handling,Yes,Approximate area,No,No mention,Needs license,https://www.gumtree.com/termsofuse,No Official API,https://www.gumtree.com/robots.txt,No,No,29/08/20,Pivigo Team
Gumtree,https://www.gumtree.com/,Deliveries/Cooked Food,Compilators,Social Media,Yes,Approximate area,No,No mention,Needs license,https://www.gumtree.com/termsofuse,No Official API,https://www.gumtree.com/robots.txt,No,No,29/08/20,Pivigo Team
Gumtree,https://www.gumtree.com/,Foodstuffs,Intermediaries,Marketplaces - No Food Handling,Yes,Approximate area,No,No mention,Needs license,https://www.gumtree.com/termsofuse,No Official API,https://www.gumtree.com/robots.txt,No,No,29/08/20,Pivigo Team
Gumtree,https://www.gumtree.com/,Foodstuffs,Compilators,Social Media,Yes,Approximate area,No,No mention,Needs license,https://www.gumtree.com/termsofuse,No Official API,https://www.gumtree.com/robots.txt,No,No,29/08/20,Pivigo Team
HomeCookedUK,https://homecookeduk.com/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
HomeFood,https://play.google.com/store/apps/details?id=com.MakananRumah.HomeFood&hl=en_GB,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
HomeMadeFood,https://homemadefood.app/,Deliveries/Cooked Food,Intermediaries,Ordering & Logistics - No Food Handling,(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),(to check),29/08/20,Pivigo Team
Hot Dinners,https://www.hot-dinners.com/,Deliveries/Cooked Food,Compilators,Listings,Yes,Yes,No,No mention,No - no data access terms,https://www.hot-dinners.com/About-Us/About-us/hot-dinners-privacy-policy,No Official API,http://hot-dinners.com/robots.txt,Yes,No,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Deliveries/Cooked Food,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Deliveries/Cooked Food,Compilators,Social Media,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Food Activities,Compilators,Social Media,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Foodstuffs,Intermediaries,Marketplaces - No Food Handling,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
Instagram ,https://www.instagram.com/,Foodstuffs,Compilators,Social Media,Yes,No,No,No mention,Yes - specific,https://help.instagram.com/581066165581870,https://www.instagram.com/developer/,https://www.instagram.com/robots.txt,No,Yes,29/08/20,Pivigo Team
